Longitude,Latitude
-75.3067767,39.9500039
-75.3069002,39.9507614
-75.3063145,39.9504892
-75.3061645,39.9511293
-75.3077155,39.950771
-75.3072072,39.9509075
-75.3062723,39.9515196
-75.3071849,39.9509566
-75.3074641,39.9505841
-75.3067663,39.9499749
-75.3078038,39.9517
-75.30754,39.9517233
-75.3069336,39.9500908
-75.3068012,39.9514771
-75.3076564,39.950665
-75.3077249,39.9509931
-75.3070872,39.9499297
-75.3079429,39.9513608
-75.307093,39.9519539
-75.3075168,39.9506763
-75.3077763,39.9508047
-75.3061207,39.9503777
-75.3065366,39.9508472
-75.3054843,39.9501503
-75.3065882,39.9509215
-75.3067736,39.9511634
-75.3067772,39.9512256
-75.307688,39.9509595
-75.3074407,39.9512735
-75.3071823,39.9519213
-75.3057366,39.9500517
-75.3076085,39.9516365
-75.3071019,39.9507502
-75.3051236,39.9434771
-75.3069438,39.9508396
-75.3049476,39.943502
-75.3054465,39.9500886
-75.3063368,39.950713
-75.3079806,39.9511999
-75.306439,39.9501057
-75.3066906,39.9504365
-75.3058745,39.9507098
-75.3062703,39.9513389
-75.3064986,39.9516835
-75.3074141,39.9505327
-75.3064991,39.9518901
-75.3058859,39.950906
-75.3067721,39.9504978
-75.3072937,39.9499658
-75.3048862,39.9434768
